nama_marketplace,nama_toko,nama_toko_standard,brand_id
Lazada,enzhico,LZ enzhico,ENZ
Lazada,enzhico store,LZ enzhico store,ENZ
Lazada,erassgo,LZ erassgo,ERA
Lazada,erassgo store id,LZ erassgo store id,ERA
Lazada,kudaku,LZ kudaku,KDK
Lazada,zhi yang yao,LZ zhi yang yao,ZYY
Lazada,zhi yang yao store makassar,LZ zhi yang yao store makasar,ZYY
Shopee,enzhico,SP enzhico,ENZ
Shopee,enzhicoÂ shop,SP enzhico shop,ENZ
Shopee,enzhico store,SP enzhico store,ENZ
Shopee,erassgo.co,SP erassgo.co,ERA
Shopee,juwara herbal official store,SP juwara herbal official store,JUW
Shopee,kudaku,SP kudaku,KDK
Shopee,kudaku id,SP kudaku id,KDK
Shopee,kudaku indonesia,SP kudaku indonesia,KDK
Shopee,kudaku official store,SP kudaku official store,KDK
Shopee,kudaku store,SP kudaku store,KDK
Shopee,zhi yang yao,SP zhi yang yao,ZYY
Shopee,zhi yang yao id,SP zhi yang yao id,ZYY
Shopee,zhi yang yao indonesia,SP zhi yang yao indonesia,ZYY
Shopee,zhiÂ yangÂ yaoÂ mart,SP zhi yang yao mart,ZYY
Shopee,zhi yang yao official,SP zhi yang yao official,ZYY
Shopee,zhi yang yao official store,SP zhi yang yao official store,ZYY
Shopee,zhiÂ yangÂ yaoÂ shop,SP zhi yang yao shop,ZYY
Tokopedia,enzhico official store,TP enzhico official store,ENZ
Tokopedia,erassgo,TP erassgo,ERA
Tokopedia,kudaku official store,TP kudaku official store,KDK
Tokopedia,zhi yang yao official store,TP zhi yang yao official store,ZYY
TikTok,enzhico authorized store,TT enzhico authorized store,ENZ
TikTok,juwaraherbal,TT juwara herbal,JUW
TikTok,kudaku milk,TT kudaku milk,KDK
TikTok,zhi yang yao,TT zhi yang yao official store,ZYY